% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
160,4.52E-19,6.23E-19,9.66E-19,1.34E-18,2.92E-18
161,4.45E-19,6.11E-19,9.49E-19,1.31E-18,2.74E-18
162,4.36E-19,5.98E-19,9.25E-19,1.27E-18,2.58E-18
163,4.25E-19,5.86E-19,8.97E-19,1.23E-18,2.43E-18
164,4.12E-19,5.70E-19,8.66E-19,1.20E-18,2.29E-18
165,4.00E-19,5.53E-19,8.41E-19,1.16E-18,2.17E-18
166,3.88E-19,5.34E-19,8.17E-19,1.12E-18,2.06E-18
167,3.77E-19,5.15E-19,7.95E-19,1.08E-18,1.96E-18
168,3.66E-19,4.98E-19,7.69E-19,1.04E-18,1.86E-18
169,3.56E-19,4.83E-19,7.41E-19,9.98E-19,1.77E-18
170,3.45E-19,4.69E-19,7.12E-19,9.58E-19,1.68E-18
171,3.33E-19,4.55E-19,6.87E-19,9.23E-19,1.60E-18
172,3.21E-19,4.41E-19,6.64E-19,8.92E-19,1.53E-18
173,3.09E-19,4.26E-19,6.41E-19,8.61E-19,1.46E-18
174,2.97E-19,4.10E-19,6.16E-19,8.27E-19,1.40E-18
175,2.85E-19,3.92E-19,5.90E-19,7.89E-19,1.33E-18
176,2.73E-19,3.74E-19,5.68E-19,7.52E-19,1.26E-18
177,2.63E-19,3.58E-19,5.48E-19,7.20E-19,1.20E-18
178,2.53E-19,3.45E-19,5.30E-19,6.91E-19,1.14E-18
179,2.43E-19,3.33E-19,5.09E-19,6.60E-19,1.08E-18
180,2.32E-19,3.21E-19,4.86E-19,6.28E-19,1.02E-18
181,2.21E-19,3.06E-19,4.62E-19,5.94E-19,9.65E-19
182,2.11E-19,2.90E-19,4.39E-19,5.62E-19,9.13E-19
183,2.01E-19,2.73E-19,4.17E-19,5.32E-19,8.64E-19
184,1.91E-19,2.58E-19,3.93E-19,5.04E-19,8.16E-19
185,1.80E-19,2.44E-19,3.68E-19,4.77E-19,7.67E-19
186,1.68E-19,2.32E-19,3.43E-19,4.50E-19,7.18E-19
187,1.57E-19,2.19E-19,3.22E-19,4.22E-19,6.70E-19
188,1.47E-19,2.05E-19,3.02E-19,3.93E-19,6.23E-19
189,1.36E-19,1.90E-19,2.81E-19,3.63E-19,5.75E-19
190,1.25E-19,1.74E-19,2.58E-19,3.33E-19,5.27E-19
191,1.14E-19,1.59E-19,2.36E-19,3.05E-19,4.80E-19
192,1.04E-19,1.45E-19,2.15E-19,2.78E-19,4.37E-19
193,9.50E-20,1.31E-19,1.95E-19,2.52E-19,3.95E-19
194,8.55E-20,1.18E-19,1.75E-19,2.25E-19,3.53E-19
195,7.53E-20,1.04E-19,1.54E-19,1.96E-19,3.11E-19
196,6.48E-20,8.97E-20,1.33E-19,1.68E-19,2.69E-19
197,5.43E-20,7.54E-20,1.12E-19,1.41E-19,2.27E-19
198,4.40E-20,6.15E-20,9.18E-20,1.16E-19,1.86E-19
199,3.41E-20,4.79E-20,7.15E-20,9.11E-20,1.45E-19
200,2.49E-20,3.49E-20,5.19E-20,6.77E-20,1.07E-19
