% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
127,8.31E-19,1.21E-18,2.03E-18,7.84E-18,4.07E-18
128,7.69E-19,1.16E-18,1.85E-18,6.73E-18,4.33E-18
129,7.84E-19,1.14E-18,1.88E-18,6.00E-18,4.92E-18
130,7.61E-19,1.07E-18,1.77E-18,5.23E-18,5.50E-18
131,7.55E-19,1.08E-18,1.72E-18,4.84E-18,6.28E-18
132,7.29E-19,1.06E-18,1.69E-18,4.28E-18,7.06E-18
133,7.14E-19,1.02E-18,1.64E-18,3.99E-18,7.80E-18
134,7.05E-19,1.00E-18,1.62E-18,3.66E-18,8.95E-18
135,6.69E-19,9.75E-19,1.52E-18,3.24E-18,9.68E-18
136,6.64E-19,9.46E-19,1.46E-18,3.05E-18,1.03E-17
137,6.78E-19,9.48E-19,1.48E-18,2.96E-18,1.16E-17
138,6.15E-19,9.25E-19,1.43E-18,2.80E-18,1.25E-17
139,6.18E-19,8.92E-19,1.38E-18,2.58E-18,1.25E-17
140,5.89E-19,8.21E-19,1.28E-18,2.35E-18,1.24E-17
141,6.04E-19,8.70E-19,1.26E-18,2.29E-18,1.26E-17
142,5.74E-19,8.62E-19,1.26E-18,2.19E-18,1.16E-17
143,5.81E-19,8.25E-19,1.25E-18,2.15E-18,1.13E-17
144,5.78E-19,7.93E-19,1.23E-18,2.07E-18,1.02E-17
145,5.59E-19,8.00E-19,1.17E-18,2.04E-18,9.51E-18
146,5.49E-19,7.48E-19,1.11E-18,1.86E-18,8.22E-18
147,5.39E-19,7.84E-19,1.16E-18,1.87E-18,7.45E-18
148,5.36E-19,7.43E-19,1.11E-18,1.77E-18,6.60E-18
149,5.27E-19,7.34E-19,1.08E-18,1.71E-18,5.80E-18
150,5.08E-19,7.25E-19,1.04E-18,1.66E-18,5.16E-18
151,4.95E-19,7.14E-19,1.02E-18,1.57E-18,4.54E-18
152,4.90E-19,6.81E-19,1.01E-18,1.61E-18,4.19E-18
153,4.98E-19,6.86E-19,1.03E-18,1.56E-18,3.87E-18
154,4.77E-19,6.64E-19,9.42E-19,1.47E-18,3.50E-18
155,4.53E-19,6.38E-19,9.42E-19,1.39E-18,3.19E-18
156,4.39E-19,6.16E-19,8.75E-19,1.35E-18,2.91E-18
157,4.41E-19,6.07E-19,8.89E-19,1.34E-18,2.75E-18
158,4.35E-19,6.08E-19,8.93E-19,1.31E-18,2.57E-18
159,4.37E-19,5.92E-19,8.71E-19,1.29E-18,2.51E-18
160,4.06E-19,5.60E-19,8.06E-19,1.21E-18,2.26E-18
161,4.09E-19,5.82E-19,8.09E-19,1.20E-18,2.20E-18
162,3.85E-19,5.42E-19,7.50E-19,1.16E-18,2.03E-18
163,3.77E-19,5.20E-19,7.67E-19,1.13E-18,1.96E-18
164,3.64E-19,4.95E-19,7.27E-19,1.07E-18,1.84E-18
165,3.61E-19,5.01E-19,7.22E-19,1.06E-18,1.80E-18
166,3.48E-19,4.71E-19,6.75E-19,9.91E-19,1.65E-18
167,3.35E-19,4.51E-19,6.62E-19,9.43E-19,1.58E-18
168,3.26E-19,4.55E-19,6.06E-19,9.25E-19,1.53E-18
169,3.13E-19,4.33E-19,6.26E-19,8.84E-19,1.45E-18
170,2.97E-19,4.18E-19,5.96E-19,8.73E-19,1.37E-18
171,2.92E-19,4.05E-19,5.69E-19,8.37E-19,1.36E-18
172,2.78E-19,3.91E-19,5.35E-19,7.93E-19,1.26E-18
173,2.67E-19,3.55E-19,5.15E-19,7.26E-19,1.17E-18
174,2.50E-19,3.57E-19,5.10E-19,7.19E-19,1.15E-18
175,2.50E-19,3.29E-19,4.84E-19,6.98E-19,1.09E-18
176,2.40E-19,3.33E-19,4.81E-19,6.73E-19,1.03E-18
177,2.26E-19,3.16E-19,4.51E-19,6.16E-19,9.63E-19
178,2.16E-19,3.06E-19,4.13E-19,6.01E-19,9.14E-19
179,1.97E-19,2.80E-19,4.03E-19,5.49E-19,8.60E-19
180,2.02E-19,2.71E-19,3.92E-19,5.42E-19,8.30E-19
181,1.85E-19,2.47E-19,3.65E-19,4.95E-19,7.70E-19
182,1.77E-19,2.42E-19,3.35E-19,4.81E-19,7.44E-19
183,1.63E-19,2.25E-19,3.10E-19,4.51E-19,6.68E-19
184,1.48E-19,2.15E-19,2.91E-19,4.20E-19,6.37E-19
185,1.49E-19,2.05E-19,2.86E-19,3.99E-19,6.01E-19
186,1.32E-19,1.91E-19,2.63E-19,3.66E-19,5.55E-19
